Date,Open,High,Low,Close,Volume
2021-08-06,173.24000549316406,173.50999450683594,170.24000549316406,172.1199951171875,1974200
2021-08-09,172.1199951171875,176.80999755859375,172.0800018310547,176.2100067138672,5510900
2021-08-10,176.5,177.3699951171875,172.33999633789062,173.02000427246094,4075800
2021-08-11,173.11000061035156,173.13999938964844,166.36000061035156,167.85000610351562,4647500
2021-08-12,168.72000122070312,169.83999633789062,167.1300048828125,169.24000549316406,2459800
2021-08-13,170.4199981689453,170.55999755859375,168.88999938964844,169.39999389648438,2036900
2021-08-16,168.67999267578125,168.69000244140625,164.7899932861328,167.39999389648438,3303900
2021-08-17,165.32000732421875,170.55999755859375,165.22999572753906,170.55999755859375,3034800
2021-08-18,171.00999450683594,171.38999938964844,168.1999969482422,168.33999633789062,1636100
2021-08-19,165.97000122070312,167.3300018310547,164.27000427246094,164.6199951171875,1930800
2021-08-20,165.0800018310547,167.8000030517578,164.4499969482422,167.16000366210938,1956300
2021-08-23,168.9499969482422,172.22999572753906,168.7899932861328,171.92999267578125,2226700
2021-08-24,171.27000427246094,171.83999633789062,170.11000061035156,171.4499969482422,1425900
2021-08-25,171.1300048828125,172.85000610351562,170.3300018310547,172.60000610351562,2245700
2021-08-26,172.50999450683594,173.69000244140625,170.8000030517578,171.41000366210938,1921300
2021-08-27,171.75,173.58999633789062,170.44000244140625,171.80999755859375,2498400
2021-08-30,171.86000061035156,173.57000732421875,171.1300048828125,171.99000549316406,1989700
2021-08-31,172.69000244140625,173.58999633789062,171.3300018310547,172.27999877929688,1916500
2021-09-01,173.1300048828125,174.60000610351562,172.35000610351562,174.05999755859375,2075900
2021-09-02,174.89999389648438,176.02000427246094,174.33999633789062,176.0,1830300
2021-09-03,175.75,175.97999572753906,174.32000732421875,175.80999755859375,1235000
2021-09-07,175.3300018310547,175.8000030517578,173.85000610351562,175.44000244140625,2406800
2021-09-08,175.10000610351562,175.3699951171875,172.83999633789062,173.75999450683594,1599400
2021-09-09,173.55999755859375,175.60000610351562,173.55999755859375,173.8800048828125,2599600
2021-09-10,175.2899932861328,175.2899932861328,172.7899932861328,173.22999572753906,1441600
2021-09-13,174.1300048828125,174.1300048828125,169.6999969482422,170.32000732421875,2158900
2021-09-14,170.6699981689453,172.39999389648438,169.6300048828125,169.92999267578125,2114300
2021-09-15,170.58999633789062,172.19000244140625,169.9499969482422,171.8000030517578,1606700
2021-09-16,171.2100067138672,172.92999267578125,170.27999877929688,172.50999450683594,1827200
2021-09-17,172.94000244140625,173.74000549316406,170.69000244140625,173.61000061035156,4448600
2021-09-20,170.5500030517578,172.19000244140625,168.36000061035156,169.91000366210938,1968300
2021-09-21,170.72999572753906,172.55999755859375,170.3800048828125,171.55999755859375,1006200
2021-09-22,171.88999938964844,172.63999938964844,170.1699981689453,171.60000610351562,1296000
2021-09-23,172.08999633789062,174.4499969482422,171.86000061035156,173.9199981689453,2782600
2021-09-24,172.9199981689453,173.0500030517578,170.2100067138672,170.49000549316406,1508100
2021-09-27,169.94000244140625,170.3699951171875,167.0500030517578,167.50999450683594,1548300
2021-09-28,165.4499969482422,165.4499969482422,161.89999389648438,162.1300048828125,3189300
2021-09-29,163.6999969482422,164.13999938964844,161.16000366210938,161.41000366210938,2437200
2021-09-30,162.60000610351562,163.6300048828125,161.60000610351562,161.67999267578125,2822400
2021-10-01,160.16000366210938,160.16000366210938,155.0800018310547,158.92999267578125,4672900
2021-10-04,156.4499969482422,157.38999938964844,154.97000122070312,155.67999267578125,3367400
