Date,Open,High,Low,Close,Volume
2021-08-06,184.6100006103516,184.8300018310547,183.8999938964844,184.1699981689453,76200
2021-08-09,184.80999755859372,185.0399932861328,184.47000122070312,184.82000732421875,59200
2021-08-10,185.19000244140625,186.1699981689453,185.00999450683597,186.1199951171875,59400
2021-08-11,186.8800048828125,187.3600006103516,186.6199951171875,186.6999969482422,106400
2021-08-12,186.8800048828125,186.8999938964844,186.32000732421875,186.6499938964844,44100
2021-08-13,186.97999572753903,188.1999969482422,186.97999572753903,187.97999572753903,92000
2021-08-16,187.94000244140625,189.08999633789065,187.72000122070312,189.0800018310547,118700
2021-08-17,188.5800018310547,189.67999267578125,188.17999267578125,189.13999938964844,169400
2021-08-18,188.7899932861328,189.0,186.6000061035156,186.66000366210935,79700
2021-08-19,185.58999633789065,188.27999877929688,185.3999938964844,187.8800048828125,92700
2021-08-20,187.8800048828125,188.8600006103516,187.3500061035156,188.3699951171875,88600
2021-08-23,188.3699951171875,188.6699981689453,187.7899932861328,187.9600067138672,65900
2021-08-24,188.0,188.0,186.41000366210935,186.6300048828125,66900
2021-08-25,186.6300048828125,186.9199981689453,185.80999755859372,186.5399932861328,74700
2021-08-26,186.25,186.25,185.1000061035156,185.5399932861328,86600
2021-08-27,185.8300018310547,186.7400054931641,185.47000122070312,186.47000122070312,54900
2021-08-30,186.44000244140625,187.3600006103516,186.42999267578125,187.1999969482422,73100
2021-08-31,187.2700042724609,187.7400054931641,186.9199981689453,187.6100006103516,137900
2021-09-01,187.88999938964844,188.67999267578125,187.4199981689453,188.4499969482422,120200
2021-09-02,189.0,189.5800018310547,188.72999572753903,189.2100067138672,153300
2021-09-03,188.5200042724609,189.1699981689453,188.2400054931641,188.9600067138672,53800
2021-09-07,188.83999633789065,188.83999633789065,186.8800048828125,186.9499969482422,121200
2021-09-08,186.5,188.42999267578125,186.5,188.3800048828125,111200
2021-09-09,187.8800048828125,187.97000122070312,186.97999572753903,187.08999633789065,74800
2021-09-10,187.5,187.5,185.97000122070312,186.25,70000
2021-09-13,187.0500030517578,188.1000061035156,186.2700042724609,186.6100006103516,63700
2021-09-14,187.22000122070312,187.22000122070312,185.22000122070312,185.47999572753903,86200
2021-09-15,185.3999938964844,186.6199951171875,185.16000366210935,186.44000244140625,48700
2021-09-16,186.0500030517578,186.67999267578125,184.3699951171875,185.97999572753903,75900
2021-09-17,185.75,185.9199981689453,185.1000061035156,185.2100067138672,67300
2021-09-20,183.44000244140625,184.5399932861328,181.66000366210935,183.08999633789065,145400
2021-09-21,183.72999572753903,184.8999938964844,182.6000061035156,182.8500061035156,60200
2021-09-22,184.0399932861328,184.57000732421875,183.2899932861328,183.52999877929688,89000
2021-09-23,183.77999877929688,185.0,183.69000244140625,184.13999938964844,49600
2021-09-24,183.75999450683597,184.83999633789065,183.75999450683597,184.4199981689453,77700
2021-09-27,184.1199951171875,185.05999755859372,183.75999450683597,183.7700042724609,40700
2021-09-28,183.44000244140625,183.52999877929688,181.16000366210935,181.6499938964844,88300
2021-09-29,181.0500030517578,183.1999969482422,180.82000732421875,182.44000244140625,62800
2021-09-30,182.8999938964844,182.8999938964844,179.17999267578125,179.22000122070312,141800
2021-10-01,180.0,180.58999633789065,178.02000427246094,179.69000244140625,141900
2021-10-04,179.64999389648438,180.67999267578125,177.86000061035156,179.08999633789062,204400
2021-10-05,179.6699981689453,180.72999572753903,179.27999877929688,180.05999755859375,83600
2021-10-06,178.9499969482422,181.6699981689453,178.9499969482422,181.6300048828125,54800
2021-10-07,182.5800018310547,184.0,182.32000732421875,182.3999938964844,64900
2021-10-08,182.3999938964844,182.82000732421875,182.00999450683597,182.1199951171875,66600
2021-10-11,182.27999877929688,183.0,181.83999633789065,181.83999633789065,68600
2021-10-12,182.27999877929688,183.3699951171875,181.63999938964844,181.9900054931641,71500
2021-10-13,182.4199981689453,182.67999267578125,180.8999938964844,182.30999755859372,70400
2021-10-14,183.27999877929688,184.66000366210935,183.0500030517578,184.2899932861328,62100
2021-10-15,185.2100067138672,185.2100067138672,183.42999267578125,183.80999755859372,62000
2021-10-18,183.0800018310547,183.80999755859372,182.0399932861328,183.0800018310547,83000
2021-10-19,182.75,183.2400054931641,181.97999572753903,183.2400054931641,92000
2021-10-20,183.5399932861328,184.80999755859372,183.5399932861328,184.3000030517578,120600
2021-10-21,184.5500030517578,184.5500030517578,183.8800048828125,184.1000061035156,55900
2021-10-22,184.6000061035156,185.72000122070312,184.6000061035156,185.4600067138672,55100
2021-10-25,185.1699981689453,185.9499969482422,184.3500061035156,185.6699981689453,75500
2021-10-26,185.7700042724609,186.2700042724609,185.5,185.8600006103516,93000
2021-10-27,186.66000366210935,186.66000366210935,184.6199951171875,184.6199951171875,66700
2021-10-28,184.6199951171875,185.8000030517578,184.6199951171875,185.72999572753903,50900
2021-10-29,185.2899932861328,186.27999877929688,185.2899932861328,185.67999267578125,54400
2021-11-01,186.27999877929688,186.6199951171875,185.5,186.1699981689453,99000
2021-11-02,186.1699981689453,187.55999755859372,185.7899932861328,187.25999450683597,63600
2021-11-03,187.4900054931641,189.17999267578125,187.27999877929688,189.1300048828125,76500
2021-11-04,188.8300018310547,189.6499938964844,188.6000061035156,189.52999877929688,142100
2021-11-05,190.0,190.9199981689453,190.0,190.6000061035156,508300
