Date,Open,High,Low,Close,Volume
2021-08-06,442.1000061035156,442.9400024414063,441.7999877929688,442.489990234375,46930000
2021-08-09,442.4599914550781,442.7999877929688,441.30999755859375,442.1300048828125,41222600
2021-08-10,442.6099853515625,443.4400024414063,441.8800048828125,442.6799926757813,43339300
2021-08-11,443.8200073242188,443.8800048828125,442.6199951171875,443.7799987792969,44034300
2021-08-12,443.6199951171875,445.260009765625,442.6600036621094,445.1099853515625,38909400
2021-08-13,445.5899963378906,445.9400024414063,445.0700073242188,445.9200134277344,39470300
2021-08-16,444.5299987792969,447.1099853515625,442.8699951171875,446.9700012207031,73740000
2021-08-17,444.239990234375,444.9599914550781,440.8500061035156,444.0400085449219,92673900
2021-08-18,442.9599914550781,444.6300048828125,438.9200134277344,439.1799926757813,89351900
2021-08-19,436.2699890136719,441.1400146484375,436.1199951171875,439.8599853515625,92812200
2021-08-20,440.2300109863281,443.7099914550781,439.7099914550781,443.3599853515625,72008700
2021-08-23,445.1600036621094,448.2300109863281,443.4400024414063,447.260009765625,54973000
2021-08-24,447.9700012207031,448.5400085449219,447.4200134277344,447.9700012207031,38744700
2021-08-25,448.1700134277344,449.4599914550781,447.7699890136719,448.9100036621094,40529700
2021-08-26,448.6099853515625,448.8599853515625,446.1600036621094,446.260009765625,57829600
2021-08-27,447.1199951171875,450.6499938964844,447.05999755859375,450.25,77235100
2021-08-30,450.9700012207031,453.0700073242188,450.7099914550781,452.2300109863281,48357400
2021-08-31,452.1300048828125,452.489990234375,450.9200134277344,451.55999755859375,59300200
2021-09-01,452.55999755859375,453.1099853515625,451.5499877929688,451.7999877929688,48721400
2021-09-02,453.3200073242188,454.0499877929688,451.9100036621094,453.1900024414063,42501000
2021-09-03,451.9800109863281,453.6300048828125,451.5499877929688,453.0799865722656,47170500
2021-09-07,452.7099914550781,452.80999755859375,450.739990234375,451.4599914550781,51671500
2021-09-08,450.8900146484375,451.6700134277344,448.8599853515625,450.9100036621094,56181900
2021-09-09,450.7000122070313,452.5700073242188,448.7200012207031,448.9800109863281,57970400
2021-09-10,451.0400085449219,451.489990234375,445.30999755859375,445.4400024414063,89948200
2021-09-13,448.6400146484375,448.9200134277344,444.1099853515625,446.5799865722656,83738600
2021-09-14,448.1199951171875,448.3399963378906,443.2200012207031,444.1700134277344,78197100
2021-09-15,444.6199951171875,448.4100036621094,443.4400024414063,447.8800048828125,78792200
2021-09-16,447.3200073242188,448.3599853515625,444.0199890136719,447.1700134277344,77786700
2021-09-17,444.9200134277344,445.3699951171875,441.0199890136719,441.3999938964844,118425000
2021-09-20,434.8800048828125,436.55999755859375,428.8599853515625,434.0400085449219,166445500
2021-09-21,436.5299987792969,437.9100036621094,433.0700073242188,433.6300048828125,92526100
2021-09-22,436.0499877929688,440.0299987792969,433.75,437.8599853515625,102350100
2021-09-23,439.8500061035156,444.8900146484375,439.6000061035156,443.1799926757813,76396000
2021-09-24,441.4400024414063,444.6700134277344,441.2099914550781,443.9100036621094,62094800
2021-09-27,442.80999755859375,444.0499877929688,441.8999938964844,442.6400146484375,61371100
2021-09-28,439.6900024414063,440.0400085449219,432.9400024414063,433.7200012207031,130436300
2021-09-29,435.1900024414063,437.0400085449219,433.8500061035156,434.4500122070313,82329200
2021-09-30,436.0199890136719,436.7699890136719,428.7799987792969,429.1400146484375,140506000
2021-10-01,430.9800109863281,436.0299987792969,427.2300109863281,434.239990234375,129240100
2021-10-04,433.0,433.9599914550781,426.3599853515625,428.6400146484375,128570000
2021-10-05,430.239990234375,435.489990234375,429.3900146484375,433.1000061035156,90682500
2021-10-06,429.2699890136719,435.1199951171875,427.5400085449219,434.8999938964844,113032200
2021-10-07,438.3900146484375,441.6799926757813,438.2000122070313,438.6600036621094,72437500
2021-10-08,439.4800109863281,439.8900146484375,437.1900024414063,437.8599853515625,74557400
2021-10-11,437.1600036621094,440.260009765625,434.6199951171875,434.6900024414063,65233300
2021-10-12,435.6700134277344,436.1000061035156,432.7799987792969,433.6199951171875,71181200
2021-10-13,434.7099914550781,436.0499877929688,431.5400085449219,435.1799926757813,72974000
2021-10-14,439.0799865722656,442.6600036621094,438.5799865722656,442.5,70236800
2021-10-15,444.75,446.260009765625,444.0899963378906,445.8699951171875,66260200
2021-10-18,443.9700012207031,447.5499877929688,443.2699890136719,447.1900024414063,62213200
2021-10-19,448.9200134277344,450.7099914550781,448.2699890136719,450.6400146484375,46996800
2021-10-20,451.1300048828125,452.7300109863281,451.010009765625,452.4100036621094,49571600
2021-10-21,451.7699890136719,453.8299865722656,451.30999755859375,453.5899963378906,41305400
2021-10-22,453.1300048828125,454.6700134277344,451.0499877929688,453.1199951171875,58845100
2021-10-25,454.2799987792969,455.8999938964844,452.3900146484375,455.5499877929688,45214500
2021-10-26,457.2000122070313,458.489990234375,455.55999755859375,455.9599914550781,56075100
