Date,Open,High,Low,Close,Volume
2022-03-07,217.67999267578125,217.9199981689453,211.22000122070312,211.2400054931641,7953400
2022-03-08,211.07000732421875,215.4900054931641,209.27999877929688,210.0500030517578,6132200
2022-03-09,214.6699981689453,216.91000366210935,213.57000732421875,215.8800048828125,4558400
2022-03-10,213.7700042724609,215.3500061035156,212.3000030517578,214.91000366210935,5271300
2022-03-11,216.32000732421875,216.5399932861328,211.6999969482422,211.9900054931641,5511000
2022-03-14,212.27999877929688,213.80999755859372,209.2700042724609,209.8999938964844,6284200
2022-03-15,211.0,214.63999938964844,210.5,214.27999877929688,6491000
2022-03-16,216.3600006103516,219.63999938964844,213.9900054931641,219.63999938964844,4863500
2022-03-17,218.52999877929688,222.6000061035156,218.27999877929688,222.5800018310547,6570100
2022-03-18,221.9900054931641,225.4499969482422,221.42999267578125,225.17999267578125,3425100
2022-03-21,225.44000244140625,226.1999969482422,223.07000732421875,224.97000122070312,2802200
2022-03-22,225.77999877929688,228.1499938964844,225.6000061035156,227.72999572753903,3269300
2022-03-23,225.72999572753903,226.5,223.92999267578125,223.92999267578125,2695400
2022-03-24,225.00999450683597,227.19000244140625,224.3300018310547,227.1199951171875,2375100
2022-03-25,227.57000732421875,228.25,225.8999938964844,228.08999633789065,3851100
2022-03-28,228.02999877929688,229.57000732421875,226.47999572753903,229.57000732421875,6799400
2022-03-29,231.4199981689453,233.3600006103516,230.4499969482422,233.0500030517578,4470500
2022-03-30,232.38999938964844,232.80999755859372,230.02999877929688,231.16000366210935,3436400
2022-03-31,230.67999267578125,231.32000732421875,227.6100006103516,227.6699981689453,4087000
2022-04-01,228.66000366210935,228.75,226.6300048828125,228.5800018310547,3456400
2022-04-04,228.8600006103516,230.5399932861328,228.3800048828125,230.5200042724609,3241100
2022-04-05,229.88999938964844,230.8800048828125,226.5800018310547,227.1499938964844,3268800
2022-04-06,225.02999877929688,225.83999633789065,222.94000244140625,224.5399932861328,4122000
2022-04-07,224.1999969482422,226.44000244140625,222.63999938964844,225.38999938964844,4347500
2022-04-08,224.97999572753903,226.3500061035156,223.91000366210935,224.69000244140625,2954800
2022-04-11,223.1699981689453,223.57000732421875,221.0,221.17999267578125,2942200
2022-04-12,222.8600006103516,224.5,219.7400054931641,220.5,3164200
2022-04-13,220.50999450683597,223.7899932861328,220.2700042724609,223.38999938964844,2404600
2022-04-14,223.5800018310547,224.2100067138672,220.6100006103516,220.6699981689453,2465500
2022-04-18,220.41000366210935,221.2899932861328,219.1499938964844,220.2899932861328,3674400
2022-04-19,220.22999572753903,224.6000061035156,220.22999572753903,224.1699981689453,2631200
2022-04-20,225.0,225.5200042724609,223.3999938964844,223.8800048828125,2933200
2022-04-21,225.6999969482422,226.67999267578125,219.6999969482422,220.22000122070312,3172100
2022-04-22,219.72999572753903,219.72999572753903,214.0200042724609,214.22000122070312,6361400
2022-04-25,213.07000732421875,215.6999969482422,210.7899932861328,215.38999938964844,9271800
2022-04-26,214.25999450683597,214.41000366210935,209.25,209.25,6891100
2022-04-27,209.8500061035156,212.3999938964844,208.5500030517578,209.66000366210935,4955900
2022-04-28,211.8800048828125,215.75,209.4499969482422,214.7700042724609,3767700
2022-04-29,212.8999938964844,214.30999755859372,206.7100067138672,206.8800048828125,7330500
2022-05-02,207.1499938964844,209.1300048828125,203.7100067138672,208.44000244140625,10630500
2022-05-03,208.4900054931641,210.6100006103516,207.8800048828125,209.42999267578125,3901800
2022-05-04,209.72000122070312,215.91000366210935,207.69000244140625,215.57000732421875,3870600
2022-05-05,213.2899932861328,213.38999938964844,205.4600067138672,207.6199951171875,5186700
2022-05-06,206.4199981689453,207.82000732421875,203.1100006103516,205.9499969482422,5193900
2022-05-09,203.0,203.3800048828125,197.8600006103516,198.6499938964844,9551400
2022-05-10,201.88999938964844,202.7100067138672,196.5500030517578,199.0500030517578,7605000
2022-05-11,198.58999633789065,201.6300048828125,195.1499938964844,195.4499969482422,6365500
2022-05-12,194.05999755859372,197.58999633789065,192.1199951171875,195.66000366210935,7964900
2022-05-13,197.91000366210935,201.75,197.7400054931641,200.8999938964844,4543200
2022-05-16,200.38999938964844,201.8600006103516,198.8600006103516,199.91000366210935,4479400
2022-05-17,203.3800048828125,204.25999450683597,201.16000366210935,204.17999267578125,3954500
2022-05-18,201.82000732421875,202.0200042724609,195.44000244140625,196.19000244140625,4712200
2022-05-19,194.4900054931641,197.66000366210935,193.8800048828125,195.32000732421875,5710900
2022-05-20,197.0399932861328,197.5399932861328,190.66000366210935,195.32000732421875,5153300
2022-05-23,196.6499938964844,199.1499938964844,195.4600067138672,198.66000366210935,5018000
2022-05-24,196.57000732421875,197.3000030517578,193.32000732421875,196.6699981689453,4788700
2022-05-25,195.9499969482422,199.8600006103516,195.77999877929688,198.8600006103516,4921900
2022-05-26,199.3999938964844,203.8000030517578,199.3699951171875,202.92999267578125,4216700
2022-05-27,204.2700042724609,208.08999633789065,204.17999267578125,208.07000732421875,4381100
2022-05-31,207.1699981689453,208.3500061035156,205.19000244140625,206.3600006103516,4100900
