date,AAPL,AMD,AMZN,CMCSA,COST,CSCO,CVX,EMLP,FSTA,GDX,GDXJ,GLD,GOOGL,GS,HYG,IBB,INTC,IYR,JNK,JPM,KXI,LQD,META,MSFT,NVDA,ORCL,PG,QQQ,SIVR,SLV,SPY,T,TMF,TTWO,UPRO,USO,UWT,VDC,VDE,VHT,VNQ,VOO,VTI,VZ,WFC,WMT,XOM
2012-01-19,15.2768,6.2200,9.7225,12.1228,81.2100,19.7900,106.9300,,,52.1500,106.8000,161.2200,16.0053,107.6800,89.5800,37.9367,25.6300,58.7300,116.7000,36.9300,32.9650,114.6000,,28.1200,0.3587,28.5600,66.0800,59.8600,30.3700,29.7400,131.4600,22.9758,165.9500,15.1000,2.8679,309.5200,,81.3100,103.9900,63.5100,59.5100,120.2800,67.5100,39.0000,30.1500,20.2033,87.0300
2012-01-20,15.0107,6.4200,9.5465,12.2165,81.4100,19.9200,106.8900,,,52.1800,108.6400,162.0700,14.6644,108.7400,89.5800,37.6667,26.3800,59.0100,116.8800,37.3600,33.0750,114.3100,,29.7100,0.3555,28.7100,66.2300,59.7700,31.8800,31.2200,131.9500,23.0438,160.2750,15.0800,2.8742,302.2400,,81.4800,103.9000,63.4800,59.8800,120.2800,67.5300,38.9700,30.5400,20.3367,87.4900
2012-01-23,15.2646,6.5200,9.3045,12.1509,81.6400,19.8300,107.0100,,,53.0100,109.5600,163.1600,14.6527,108.1900,89.8900,37.4400,26.7100,59.1900,117.3600,37.6600,33.0600,114.1400,,29.7300,0.3652,28.3900,65.0000,59.7900,32.0700,31.3900,131.6100,22.9607,157.2250,15.1600,2.8767,307.1200,,81.3600,104.8600,63.2300,60.1700,120.4000,67.5500,38.4000,30.9200,20.3033,87.4700
2012-01-24,15.0146,6.5300,9.3500,12.1181,81.7300,19.8200,106.7200,,,51.8200,107.6400,162.0100,14.5378,108.8700,90.1200,37.6567,26.9000,59.5200,117.4500,37.6600,32.9750,114.5500,,29.3400,0.3735,28.5100,64.5000,59.6800,31.7500,31.0800,131.4600,22.7266,157.6250,15.4000,2.8683,304.8000,,81.0500,104.5500,63.2900,60.6300,120.2200,67.5400,37.7900,30.5400,20.4633,87.1800
2012-01-25,15.9521,6.7300,9.3900,12.2399,82.7200,19.8300,107.7300,,,55.2300,115.8400,166.4200,14.2515,108.2700,90.9100,38.5767,26.9000,60.2800,118.4700,37.6000,33.2550,114.9400,,29.5600,0.3713,28.5100,64.9800,60.4300,33.0600,32.3700,132.5600,22.8172,156.8250,15.4000,2.9388,306.8000,,81.8800,105.9600,63.9100,61.4100,121.2800,68.1600,37.6900,30.2000,20.4900,87.2200
2012-01-26,15.8796,6.7700,9.6660,12.3290,82.0600,19.8300,106.5900,,,55.7600,117.4000,167.2700,14.2167,108.5600,91.1300,38.2367,26.7500,60.6300,118.7400,37.4900,33.2000,115.8400,,29.5000,0.3677,28.2900,64.8000,60.2200,33.1200,32.4300,131.8800,22.2432,163.0500,15.2000,2.8967,306.9600,,81.5900,104.2700,63.6300,61.8400,120.6600,67.8100,37.3400,29.0500,20.3233,86.7700
2012-01-27,15.9743,6.8200,9.7685,12.3383,81.6200,19.5600,103.9600,,,57.1400,119.3600,168.9700,14.5140,111.7700,90.8000,38.7133,26.7300,60.7800,118.3800,37.2100,33.1500,116.0100,,29.2300,0.3728,28.4200,64.3000,60.4000,33.6600,32.9600,131.8200,22.0242,164.4000,15.6300,2.8908,306.4000,,81.0600,104.1800,63.7900,61.8600,120.5000,67.8600,37.2100,29.6000,20.2367,85.8300
2012-01-30,16.1789,6.7400,9.6075,12.3524,81.4400,19.5600,103.4100,,,56.4600,118.4000,168.0300,14.4567,109.7300,90.5100,38.5333,26.7400,60.2500,118.3800,37.0100,32.9600,115.8600,,29.6100,0.3700,28.6000,63.2100,60.4500,33.2200,32.5300,131.3700,22.1601,170.4000,15.5500,2.8612,304.0800,,80.6500,103.6000,63.6800,61.4000,120.1000,67.5900,37.6100,29.2500,20.4333,85.4900
2012-01-31,16.3029,6.7100,9.7220,12.4555,82.2700,19.6500,103.1200,,,56.4600,118.6000,169.3100,14.5173,111.4700,90.7400,38.6667,26.4200,60.5600,118.4100,37.3000,32.9100,116.2000,,29.5300,0.3692,28.2100,63.0400,60.5300,32.9600,32.2800,131.3200,22.2130,176.1250,15.6000,2.8546,302.5600,,80.6100,102.8600,63.7600,61.7000,120.0400,67.5600,37.6600,29.2100,20.4533,83.7400
2012-02-01,16.2925,6.9000,8.9730,12.5820,83.2200,19.8000,102.7900,,,56.5600,119.2000,169.5600,14.5353,113.4500,90.4000,39.5100,26.5500,61.0100,118.2000,37.6000,33.2450,116.2700,,29.8900,0.3733,28.8800,63.2100,61.0200,33.4500,32.7700,132.4700,22.3565,169.9000,15.7600,2.9308,299.0400,,81.2500,103.3900,64.5200,62.3100,121.1800,68.3400,37.8000,29.8900,20.7267,83.9700
