strategy,final value,annual return,sharpe,max drawdown,sqn,trades
EW-FE,2586810351.3929343,"{2021: 8.26, 2022: 16.49, 2023: 105.11}",0.9645053185931632,28.57790748245688,3.681517035339129,540
EW-OE,2799915245.520444,"{2021: 6.34, 2022: 14.48, 2023: 129.98}",0.8726134495060628,32.748331311328464,2.720595337409565,386
OW-OE,3022174148.1955724,"{2021: 10.78, 2022: 18.44, 2023: 130.34}",0.9549940700313868,25.58802699520386,3.2834247213155545,393
