"Index","ORCL GOOGL","VOO SPY","KXI VDC","VNQ ORCL","VNQ USO","VNQ QQQ","VNQ SPY","VNQ VOO","VNQ VTI","VNQ VDC","VNQ IBB","VNQ VHT","IYR CSCO","IYR ORCL","IYR SPY","IYR VOO","IYR VTI","IYR VHT","MSFT AMD","UPRO GOOGL","UPRO ORCL","JPM IYR","CVX LQD","CVX IBB","CVX TMF","XOM PG","INTC CSCO","INTC TTWO","COST MSFT","T AAPL","T AMD","T NVDA","T QQQ","T MSFT","T WMT","VZ GOOGL","VZ CSCO","VZ TTWO","VZ QQQ","VZ SPY","VZ VOO","VZ VDE","VZ VTI","VZ VDC","VZ VHT","VZ IYR","VZ MSFT","VZ PG","VZ TMF","VZ JPM","VZ XOM","VZ INTC","VZ COST","VZ WMT","CMCSA ORCL","CMCSA VDC","CMCSA KXI","CMCSA VHT","CMCSA VNQ","CMCSA IYR"
"2012-01-30",-1.04344007522216,0.372291636256434,-0.164447288362988,-0.201793327465641,-1.35040631027,-0.412198143282178,-0.705250640243488,-0.722608243850223,-0.643735621561288,-1.09820443090544,-0.180831048653415,-0.586736765126544,-0.206069459818156,-0.155687624930284,-0.67821129524271,-0.695926607971624,-0.610611676729337,-0.566186059186838,0.225460585514916,-0.480376005451009,0.328589449602774,0.147384435333896,0.58723352489711,0.174992624366483,-0.123037066481562,-0.601402621793677,-0.348221571715686,-0.156706419193121,0.175681452167347,-0.133960476790383,0.108724723281717,-0.29755263723483,-0.0883274282989387,-0.126773888120677,0.208215281590873,-0.689483577762417,0.599632479728585,0.0477518259031736,0.2753723132643,0.606724071100778,0.588876280228909,1.09851479315402,0.583229713444397,0.659633528405989,0.340701512779457,1.36123948227654,0.184144110985478,0.000331125295708213,0.0152851689994753,0.412704552344005,1.26991203785326,0.822791838839245,0.217880884290284,1.05720366422527,0.252581278801748,-0.647994173587414,-0.654720222843933,-0.268292103995341,0.597818770138244,0.555259861553794
"2012-01-31",-0.122675465525251,0.338305454102762,-0.247568422460743,-0.263502093289183,-0.042768405669819,-0.214950462507603,-0.172338424749336,-0.165671575299602,-0.175998502338524,-0.118086388928492,-0.155791094848606,-0.161815302936869,-0.235352734017049,-0.244596531082776,-0.177205216163752,-0.170506562004849,-0.181578623722361,-0.164311559379903,0.174310381321895,-0.0266534834375508,0.0182178033103738,0.185837504438973,0.261818577888097,0.189466782001089,0.159374186020426,-0.0936116708914053,-0.184475897618915,-0.13148633121748,0.114629702811924,-0.0726282200022128,0.114511781159168,-0.128007468644917,-0.0653355899212881,-0.0839747759501328,0.187131018735231,-0.117198561203324,0.130454098768104,0.0618202663548055,0.192532493160064,0.137024363390951,0.142028224171428,0.0732028776685511,0.123815681734194,0.154707010443068,0.19427919823636,0.0702423339208867,0.136675897623518,-0.0884553210435276,0.353452495816483,0.141897518854857,0.0732348553836086,0.110117898351703,0.197949165464153,0.171013155657303,0.0903519263491333,-0.310383753766635,-0.297310938219813,-0.220331089045651,0.179000546760198,0.181040119607141
"2012-02-01",-0.157337973888104,0.200856936028351,-0.457593498716669,-0.337538104101486,-0.0687896070414452,-0.227141606380281,-0.238020179700693,-0.229886138977682,-0.237691559136704,-0.172014629458519,-0.130162364596008,-0.202102449268646,-0.334067534304846,-0.310368423762269,-0.239473819454898,-0.23041220584045,-0.237723747056684,-0.199455860907816,0.196345874539131,-0.0436990549141186,0.0149628677671486,0.292422778795753,0.406284419077446,0.297983051844736,0.244755712659708,-0.118138076583097,-0.206503142751555,-0.129385365914221,0.093140388707899,-0.0195513196280741,0.129540586279463,-0.149916356269945,-0.0339894570119712,-0.0853839338715979,0.273478338729925,-0.140821519633313,0.158320521453583,0.0575775793290267,0.219754324022637,0.17071425947484,0.17687968425421,0.102855154153035,0.167364077366569,0.195095499191789,0.24553793585425,0.105109844415478,0.116937472998165,-0.232271321346108,0.390465638382616,0.16212204206011,0.0796948561472164,0.138019472176959,0.209014293764951,0.214869811670369,0.00789218050941325,-0.476058839330548,-0.438429737171719,-0.272836124419976,0.179818990033674,0.168687755942334
"2012-02-02",-0.191112597222561,-0.0682240560242875,-0.413065184123044,-0.369473450337566,-0.108251629173207,-0.257037964283546,-0.310834966989223,-0.300846615678372,-0.30530850433681,-0.234529187341562,-0.100273187107893,-0.255775849979612,-0.405117168869694,-0.334148742791223,-0.310350554620902,-0.298456167393072,-0.301686685056321,-0.249810660863052,0.218308491029049,-0.0681746234105652,0.00861287471167453,0.381456723281969,0.541220051241683,0.357404641487935,0.370812763875925,-0.136270836521105,-0.217842089878747,-0.131038420766435,0.0466821796237488,0.00890368690653852,0.136861469343234,-0.179491063707778,-0.0145986458059479,-0.101788653372288,0.313217856116558,-0.172899723606753,0.18675767989432,0.0525330886620424,0.251667749020249,0.21023111296701,0.218014408311675,0.136796675938218,0.219372217946174,0.246118939691193,0.28409544415091,0.151985258391221,0.106712455793579,-0.390380918183105,0.511395870333111,0.184090595585769,0.0746283335279206,0.162823431048075,0.276613146534181,0.273730963561249,-0.0354771028975826,-0.576358202389966,-0.542060366138562,-0.314169983920664,0.200757350877754,0.178439405801292
"2012-02-03",-0.225811321597417,-0.161698579011686,-0.418158314495173,-0.357772921983751,-0.157475737711123,-0.277835761872206,-0.4039239040234,-0.390917179125246,-0.387303485915951,-0.328933492991381,-0.086396577277506,-0.329973665859755,-0.467542330700512,-0.311690322903437,-0.400030594356297,-0.384632968697684,-0.378092810017124,-0.320261696359106,0.234501888298693,-0.103891006014977,-0.00613446582969819,0.495803034757817,0.660815281900572,0.442699601265516,0.297975659653869,-0.168139540545733,-0.207599021322323,-0.123251162894837,0.00556193516056259,0.0497327131143885,0.147061855048174,-0.21292466208858,0.00908243368495077,-0.115789077158401,0.338281584974588,-0.195939462328221,0.220095667934335,0.0730062507123458,0.275606417541769,0.249900002402617,0.258797706750151,0.178728025712469,0.279167063914024,0.26842780188116,0.304377891569626,0.211616602352854,0.088777279064406,-0.672559247833025,0.388712175721622,0.205224857077414,0.0612911047818784,0.186229761365817,0.337463807989448,0.333745511683204,-0.0557087776797711,-0.746023805499802,-0.712308157264334,-0.377329812755843,0.209914733900639,0.176341501105796
"2012-02-06",-0.256664821967079,0.0410367584380935,-0.367010299613566,-0.364671174892602,-0.234152883352763,-0.303819054547867,-0.475445887660234,-0.462661485187055,-0.440779391946113,-0.426632882001177,-0.00745863701231242,-0.393411879342979,-0.468447215858803,-0.289457290168737,-0.46138378852771,-0.446513967415943,-0.41842421417536,-0.37591870435063,0.226722826313878,-0.151449682863217,-0.0296490677180047,0.528724001415317,0.657628013787723,0.512013735685865,0.138183489123312,-0.211645199604033,-0.190747514731705,-0.112693045248963,-0.0246964583358459,0.0562265336745068,0.130625709687772,-0.252238134945033,0.0155861842015347,-0.135110183308503,0.357925202919357,-0.213959475549936,0.239983838146468,0.0589248860192851,0.271882372152783,0.271469701443994,0.278880212836066,0.220411266722812,0.318260124284495,0.248028526412148,0.285124413712866,0.272096791222544,0.0668929488005012,-0.655103338571186,0.174377267375082,0.21739482500802,0.032811285779636,0.197901731576385,0.360456706720946,0.37095427597406,-0.0964070411442178,-0.859400974834008,-0.836334838529391,-0.442537147528632,0.214821467625544,0.152972225617003
"2012-02-07",-0.273994242236714,0.108173265268862,-0.438899501202452,-0.427867667783519,-0.319951923176904,-0.330987069064827,-0.522035414899348,-0.507591824621322,-0.464389903732953,-0.523226268482889,0.0340997884954152,-0.453700070736005,-0.389035969145576,-0.34419622188846,-0.48911827272281,-0.473133971201309,-0.420145227135042,-0.424639909463636,0.217839795819092,-0.21653952607581,-0.060476263665899,0.556365062752815,0.528993383657724,0.508626324197468,-0.162419681815147,-0.26881215580863,-0.118089070846358,-0.0995928648657738,-0.0648237475348236,0.0509899978751987,0.109557883346682,-0.289382142833554,-0.0177142393093164,-0.174765264150561,0.299495121752361,-0.238137594117087,0.278103676070295,0.0486906171817263,0.255869043468864,0.290222023440032,0.298281773571999,0.288344331576313,0.355357556251341,0.222413768334197,0.240259569111493,0.334279751232294,0.0542096126869897,-0.700206803175464,-0.171783660852967,0.208849765853166,0.017431167209781,0.196017554124944,0.420992008956415,0.402270633856019,-0.16236503311897,-0.938605684143716,-0.892422404216992,-0.509516154258505,0.228384861847127,0.14806533025132
"2012-02-08",-0.288444717906263,0.198247663300406,-0.422539408533383,-0.417854979286876,-0.426196051845875,-0.335165165231929,-0.579260511996103,-0.564994831747765,-0.499222523072906,-0.642077632333951,0.0470246310204872,-0.53510642216926,-0.291959959932348,-0.318358173970657,-0.527288692385187,-0.511898175947413,-0.433563445412388,-0.495322599143286,0.234593861858547,-0.302092794291373,-0.106860081941066,0.485635850088929,0.400307720856671,0.470491812131095,-0.302812699596411,-0.31982118928406,-0.0224562258060943,-0.102861403733706,-0.0471187333957923,0.046462830381289,0.0934133774550999,-0.32007546890194,-0.061823427269528,-0.195788520097263,0.206473877525216,-0.241358363762655,0.364429913109854,0.0436807410264344,0.27627933641817,0.355655765907302,0.363435031703,0.363009963561239,0.39176163485423,0.262110386551159,0.233524048780365,0.401125514842278,0.0682580930256182,-0.69662114509744,-0.272228261431527,0.221304731954338,-0.000712900441145797,0.209323102093547,0.420526806859785,0.376211764272319,-0.20476095085558,-1.01926821523324,-0.9613453621603,-0.559821328454789,0.236879656025535,0.131085553329378
"2012-02-09",-0.264359317503594,0.493681040337249,-0.592299483263411,-0.426448887377331,-0.532310965052589,-0.272353742133776,-0.554229466687272,-0.542746916080546,-0.44533625913191,-0.702453535235649,0.0665141228169321,-0.588938393544811,-0.252359969501952,-0.323285989086027,-0.474302655135055,-0.462742375633228,-0.350493920392938,-0.534992836563377,0.246424999631497,-0.413288143401948,-0.159948985966739,0.365197036565676,0.195805389827739,0.418558558859245,-0.545235264280519,-0.324627787942065,-0.0289030459129097,-0.0992054635098265,-0.0283274912745096,0.0744104318908252,0.0841090347787099,-0.347695570793043,-0.0809075663254559,-0.223521276759126,0.116480186667807,-0.229071017964479,0.39798616127689,0.0370100696861954,0.31193561790699,0.433270359142141,0.440585245432317,0.483709114265321,0.454486958911273,0.333117956534314,0.206638427852407,0.479799608995794,0.0734840627463315,-0.650791565835198,-0.551864708438894,0.232145167008387,0.0214748873516261,0.239083767825155,0.403492172558525,0.325559186606332,-0.313100266294775,-1.17420454214872,-1.07031567674784,-0.666057252656501,0.153147221378311,0.0316356247003883
"2012-02-10",-0.232991194922826,0.254990531387358,-0.444170101691349,-0.42787243295845,-0.646312663519379,-0.200867189418341,-0.482075032954264,-0.474630459461429,-0.363549494198998,-0.697675783081948,0.0657744112036551,-0.620715712387449,-0.214563431389329,-0.329454271482234,-0.390413531543106,-0.382972378799989,-0.259268821525443,-0.564895496213453,0.223594847134712,-0.542496229525994,-0.238114176745655,0.344154720216339,0.0824703053776008,0.315448393121857,-0.467936718997485,-0.33464098192743,-0.0445133381235024,-0.114741511432574,0.0393261918932909,0.10099704284116,0.0667019682688085,-0.371659588054466,-0.101858105013187,-0.244034204637393,0.0481847181936044,-0.209988732068087,0.41114941867891,0.00687322166158473,0.326162377928706,0.480665920353715,0.485744315205384,0.612375543406617,0.513106452169474,0.388482306506977,0.150004431715432,0.556932899863613,0.0555001096712912,-0.554267030436581,-0.434477038749992,0.2258986326262,0.0313371862886542,0.263428253846807,0.265990414492465,0.330504812936255,-0.443168668097502,-1.09291761768634,-1.05260565039164,-0.714042729025953,0.00691154731565733,-0.124554928685786
