Date,Pair 1,Pair 2,Pair 3,Pair 4,Pair 5,Pair 6,Pair 7,Pair 8,Pair 9,Pair 10,Pair 11,Pair 12,Pair 13,Pair 14,Pair 15,Pair 16,Pair 17,Pair 18,Pair 19,Pair 20,Pair 21,Pair 22,Pair 23,Pair 24,Pair 25,Pair 26,Pair 27,Pair 28,Pair 29,Pair 30,Pair 31,Pair 32,Pair 33,Pair 34,Pair 35,Pair 36,Pair 37,Pair 38,Pair 39,Pair 40,Pair 41,Pair 42,Pair 43,Pair 44,Pair 45,Pair 46,Pair 47,Pair 48,Pair 49,Pair 50,Pair 51,Pair 52,Pair 53,Pair 54,Pair 55,Pair 56,Pair 57,Pair 58,Pair 59,Pair 60
2012-01-03,1.3530817706163525,2.2213364550480463,5.056672855194577,0.9095681230308088,11.168060851333564,2.0013312593514456,4.484529503066085,4.1011461428600455,2.29361697873906,2.8662298009793403,1.2347990742335924,2.1782503019094364,0.6708679676028346,0.931220978700285,4.591286619566418,4.198776571260368,2.348218009870408,2.2301049549090024,0.4297638518530773,9.76850934218897,15.17025916937294,3.4058627196455333,2.093828201036871,0.6466730859696099,3.1484789075140327,1.5862642333480608,1.597368992848846,1.200384697116842,0.646111942096649,1.3489733346176482,0.503335042225932,0.3223916035152756,5.226234410766658,2.458810084653031,1.8470926954642903,0.87057796215678,0.9739948889691236,0.7319339269903988,2.9747886830425827,6.6658268350911385,6.095963912159846,5.413174247906525,3.409243622067031,4.260378153347716,3.237762022991703,2.9883816539347805,1.3995622543275523,3.493938977212821,8.936129193179909,1.8287891736479551,4.496165551512448,1.282975659889278,4.422972079038942,1.0513708370367103,4.472087757312796,14.092436704898248,5.81492448919159,10.709837186325927,10.114942546705542,9.884939268844732
2012-01-04,1.0507739091174528,1.705187450977121,4.223076830948855,1.095424997311845,12.66950783464938,2.351784196251458,5.050410570989982,4.62976058764076,2.536082169243393,3.001977711169189,1.2574134956027123,2.169170313201711,0.895706738571775,1.0161672276389062,4.659643331891331,4.27239996836984,2.336224530009723,1.979368606919074,0.2418277892666225,7.917863237608955,12.328399832696146,2.2920639740521622,1.7866937937879044,0.4469961511184266,-0.797808451814717,1.2118063298459705,1.223077798745134,0.7339864394950304,0.9946980021267962,1.0963986193367,0.3748376732445218,0.276670907877063,4.202128570249684,2.33519642687061,1.283222531145789,0.8781501184150411,1.1704746041738083,0.6977028894667807,2.9970165486173457,6.488539519746013,5.945333037638079,5.368425243204172,3.269968773767744,3.9132203949749433,2.857753615169188,2.4183442357815323,1.7576613636387002,3.310366237943676,4.6356175768137575,1.7230920503413714,4.299333089783644,1.6061891368193315,3.859796167930938,0.8632564657129578,3.394933322398966,10.200942009347145,4.102083326302537,7.628385391122975,6.7173883195141215,6.806709596085632
2012-01-05,0.4393904883629211,1.4187241503536114,3.925655899411211,1.1495454565299852,4.294428395488183,1.8613892824784983,3.465754547137081,3.230850887397992,1.8310159378607551,1.7982905575747026,1.1749021287907482,1.5637461620909647,0.5529153134542177,1.1407063148303536,3.417229664151023,3.186613919457116,1.8062587660884264,1.5395765621898576,0.1800173564970304,6.751508039795839,11.372097871146105,1.4698180216895125,1.94098937502352,0.997782478285572,0.4078034282968588,0.987086508241859,0.8466757180318147,1.0908312899838783,1.1553205421578203,1.1091964351825077,0.3363576532154955,0.3504327203447501,4.123856974194375,2.263017113295952,1.082691297012552,0.6403847024683635,1.0076729661204809,1.203858470890772,3.212010878880129,6.451997250633781,5.964948616242211,4.729777420458404,3.35881656582373,3.678945381918936,2.996634834628807,2.744084073010171,1.812606509007768,2.9432492208311274,4.421251547045358,2.246102959563622,3.897809432753519,1.6850137274083783,3.11425804186959,0.7786527767230886,3.3089255664093464,8.364055467243972,3.2506363840380104,6.560200166453477,6.064891223386965,6.016525890504148
2012-01-06,0.0687989117885692,1.2607013159207128,3.683260610709596,1.305423206426937,5.455563370042967,1.9111389411914248,3.106220596858549,2.9383298529191397,1.6499775488650528,1.4430968394565724,1.3403258264296412,1.6754004947102956,0.4454978062948882,1.27254153903473,2.9367086698097324,2.783522958726934,1.5634406751802814,1.5932294663768545,0.0798504079111079,6.136375416259785,10.995098948066628,1.7947708548364787,2.658396494806695,1.2333326618366345,4.534352256481895,1.1796256982190414,0.8314073591295248,1.13982351003499,1.8183363879871628,1.4363457689730534,0.3923852820471118,0.3432062890761447,5.057446174922006,2.9456194394830746,1.2873174176170927,0.5937169276210756,1.049609841933222,1.2814170092900223,3.683993581673228,6.9920846709398745,6.4990241582514585,4.955815729130336,3.640500095624581,3.877766457885869,3.5530317434116228,3.068747239466809,2.256492361200806,3.3280687650933984,9.629544699157435,2.1011301565145075,3.994431828323485,1.6166781533823773,2.065255688097253,0.8396047746167135,3.565765770556734,8.039284580725578,3.07042981379405,6.755628576484661,5.981797322122908,5.996977428419093
2012-01-09,-0.5383246478008843,1.3101024575603617,3.2902463877232577,1.2707179667971609,5.316674910999609,1.6865754056745317,3.484231264949585,3.174370773117857,1.822906228853839,1.7264405129370315,1.6987530555203136,1.8219247188851424,0.5561005816736504,1.2336065175369626,3.295092793141791,3.0014662763859405,1.7263121431321125,1.7305288442264768,0.3039299917534359,5.127796175428269,10.45569359087862,1.6817449267463616,1.1579565022912703,1.124901759265029,1.7588748363367586,1.075126263478623,0.7650778423677096,1.0595962547161797,1.763333855849055,1.2887319944108049,0.5138584072093133,0.3106424149667752,4.4674991465001455,2.3234138586479816,1.2735295984127326,-0.0806281293421893,1.011675916775303,1.2119511003171244,2.9959023625627594,6.342228084247267,5.793003940775009,4.6867483987712575,3.288515919734955,3.499897791974405,3.2091844904846525,2.5332173328773,1.5818178131933998,3.162839945118748,7.7874836568301475,1.749680962632041,3.844224009482701,1.5708717809667796,0.0414640034323667,0.8004500366297691,2.9473045011806924,6.307899799083771,2.4318859263274817,5.420124326101764,4.464384776318454,4.524154801030669
2012-01-10,-0.3353455633734352,1.2881618369872712,2.9334479438285257,0.7998481697498256,4.121443365362495,1.3541411433901729,2.973633665006119,2.6933156632750865,1.6253015337322552,1.2158115059710326,1.7796987186109732,1.552755737095204,0.206666441047993,0.7706353111675384,2.826522853535266,2.5587475318192503,1.5502388481964289,1.4817646589159494,0.384969744984784,4.700384119092231,9.557325102664812,1.1624524060879082,1.762230888852173,1.6894401049902328,1.6753534298413797,0.6028663582521432,0.5383601856947848,0.5188113093390125,1.5368426163160862,1.184255140974507,0.5695247705281865,0.2579934596950801,4.334280060623044,2.1228850062274454,1.098875493586359,-0.079383862466587,0.6923238446658857,0.603498296992413,2.789204255359124,6.131225158493365,5.58368812694971,4.59857347645702,3.2461498422687214,3.17220973812465,3.088462276143652,2.610867739512713,1.350748493123529,2.2863445164441174,5.737636581771994,2.081476675724211,3.314022474653825,1.3784859346446758,0.0611166969221415,0.6076679178564319,2.5483450291373124,5.953058920303221,2.3789572296619674,5.318534898089744,4.56199205785299,4.6037550819977895
2012-01-11,-0.0885959980890991,1.20059143523126,3.0409770309196205,0.4886488810491407,-0.6378370709131218,1.024036867287407,2.085088219755334,1.9335463810760276,1.2285493189778691,0.3014275026379778,1.5563721606036012,1.2061128877399057,0.2837948221291562,0.4219080533668133,1.7606833245532272,1.6367536291983953,1.0627698791954003,1.049228174576733,0.4761555578945362,4.624801455225851,9.12796850625478,0.8017062991763808,2.7650254960323366,2.0174657167306123,8.563187943084358,0.4855949957197936,0.6333546112426305,0.3946495616211081,0.9792625233127126,0.9664297463077602,0.5805347227462265,0.1448794673129221,3.741002265194752,1.6501848492409472,1.0252976918851218,-0.0684218249378023,0.7147477951364039,0.4346156478900536,2.207798655929139,4.694866837620779,4.32249477096083,2.249906138955012,2.5717374156026835,1.8991915867408409,2.4798233567662398,2.4336782935133883,0.8960085982967918,1.041343064171656,9.664981644996573,2.167659350387993,1.849988905781743,1.237988964150599,0.5013076327103931,0.5387037178618783,2.3368112060806894,5.334976160716664,2.0256356091940404,5.262444177939294,4.818970801619472,4.943201652365794
2012-01-12,-0.04751603437861,1.2059161051367084,3.1555088347265468,0.8955387339442851,-3.94819823361388,1.5855246374362937,3.185724956665993,2.915900140426104,1.769379042317084,1.0095120972221707,1.869890450413429,1.6925834013295358,0.4712711438478365,0.8222723247055406,2.831410593762982,2.5917216412739634,1.5882094417344632,1.521086719427501,0.4009038201105257,4.562593430583775,9.056404494351934,0.2720859077576136,5.270727797265678,2.797224219269168,10.845368249481282,0.8702685179298015,0.7493574308156177,0.4942690710348056,1.1321867921119058,0.8036681661304623,0.5223750128495945,0.1019312951323327,3.4980489990226857,1.695786926085976,0.9416200424852796,0.0767061080500077,0.734021878435442,0.4702999167902906,2.2358481677698734,4.612308283274132,4.221811717510533,1.381326971609525,2.5075706026455364,1.8552887967637872,2.3931744507062405,1.8863492915868176,1.078737194961814,1.1588063742083108,8.371131536898247,2.127223858346973,1.4702966697022362,1.0722454493213611,0.6621696608648904,0.5458266422752871,2.447994135145525,5.117738175738026,1.851284910632451,5.086956522387986,4.15178816103132,4.308503614121953
2012-01-13,-0.1544120278447387,1.0744997575728237,3.6332068490796416,0.9341259235812558,-2.612985540176908,1.1962065767692636,2.184293381846402,2.101534010959284,1.2666373420866677,0.7950403364878014,1.6304969054218006,1.2532836136299466,0.2942323525747206,0.8171795956920462,1.620797277540632,1.5859821212051912,0.9782176345998436,0.9802076487639226,0.1767888911046871,4.503682237910724,9.223641371543575,2.004434800517004,4.030114609344508,2.143212018016221,12.56521695247929,0.7617060108384521,1.0740637092904066,0.7324027116766949,1.0421517469422703,0.7299788208200102,0.3390142875177293,0.0188120372608753,3.19779521638182,1.878890222308133,0.958402269237876,0.0181702772339846,0.6095403625628144,0.3720645122751964,1.909081969178466,3.748693975321814,3.535377319731907,0.8476219044214304,2.075575442191649,1.7366139209736104,2.0212854065269497,2.033948099729386,1.2452844719659772,1.2023623458600383,12.483893755159585,1.0865061336073367,1.6480221814739338,0.4318095100409138,1.473371124400657,0.547262458956066,2.649382847248507,5.358812787006372,1.709876048743336,5.010686017448187,4.483150401489404,4.740148954823496
2012-01-17,-0.1460180668188098,1.2104159480482508,3.5044923613045285,0.962440778801696,0.7261587335943887,1.2155402998108684,1.6727163675397492,1.4957547525505248,0.8880142721455115,0.6087835054444781,1.4322581251268076,1.0864926444713987,0.4346306923538989,0.9337618172688736,1.5323411221361027,1.3673210609362911,0.8162231653968774,1.0186896233412028,0.2339518774971214,4.480754033624294,9.26884046475649,3.730498338291355,3.3633063347947143,1.924956145602977,12.539309977595169,0.6083922850321102,1.34889334971232,1.069378858967962,0.7083051666574569,0.7864316758697338,0.3520428666156201,-0.0422435524352455,3.247608596848984,1.6403110370677894,0.9269757129476162,0.1150282789498362,0.7731317953516559,0.6263604313866296,2.18360819523506,3.79184024782073,3.4358384132195283,1.4363923678655084,1.9787212834012424,1.910259400261495,2.125555309867053,2.088864405804941,1.1151788930443338,1.5139564980481026,13.46854414055278,0.0043990314096475,2.248794672484024,0.2801660676914608,2.138380491870251,0.5881723734206012,2.7301471848831724,5.277998711609115,1.70579194642022,4.926762862094996,4.575779063540409,4.637344927990206
